,FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 27
2526531,2018-05-12,WN,3437,BUR,SJC,1840,1836.0,-4.0,6.0,1842.0,1933.0,2.0,1945,1935.0,-10.0,0.0,,0.0,65.0,59.0,51.0,296.0,,,,,,
1229178,2018-03-08,F9,1701,AUS,SAN,1055,1058.0,3.0,14.0,1112.0,1208.0,4.0,1205,1212.0,7.0,0.0,,0.0,190.0,194.0,176.0,1164.0,,,,,,
5182574,2018-09-19,OO,5625,BNA,DEN,1555,1552.0,-3.0,13.0,1605.0,1731.0,8.0,1750,1739.0,-11.0,0.0,,0.0,175.0,167.0,146.0,1014.0,,,,,,
6258683,2018-11-12,AA,1655,PHL,LGA,2017,2013.0,-4.0,23.0,2036.0,2104.0,11.0,2117,2115.0,-2.0,0.0,,0.0,60.0,62.0,28.0,96.0,,,,,,
2823028,2018-05-27,WN,5518,BOS,STL,1900,2028.0,88.0,8.0,2036.0,2210.0,2.0,2105,2212.0,67.0,0.0,,0.0,185.0,164.0,154.0,1047.0,0.0,0.0,0.0,0.0,67.0,
5035269,2018-09-11,EV,2917,BTR,CLT,1219,1403.0,104.0,16.0,1419.0,1649.0,14.0,1520,1703.0,103.0,0.0,,0.0,121.0,120.0,90.0,675.0,0.0,0.0,0.0,0.0,103.0,
1499722,2018-03-21,DL,1232,SEA,ATL,1222,1222.0,0.0,17.0,1239.0,1930.0,6.0,2009,1936.0,-33.0,0.0,,0.0,287.0,254.0,231.0,2182.0,,,,,,
7198082,2018-12-31,MQ,3959,MIA,JAX,1336,1329.0,-7.0,14.0,1343.0,1433.0,4.0,1455,1437.0,-18.0,0.0,,0.0,79.0,68.0,50.0,335.0,,,,,,
2063670,2018-04-19,NK,441,ORD,SEA,2025,2016.0,-9.0,23.0,2039.0,2235.0,10.0,2243,2245.0,2.0,0.0,,0.0,258.0,269.0,236.0,1721.0,,,,,,
3576635,2018-07-02,NK,267,PHL,LAX,651,650.0,-1.0,13.0,703.0,903.0,30.0,943,933.0,-10.0,0.0,,0.0,352.0,343.0,300.0,2402.0,,,,,,
287470,2018-01-16,YX,4541,PHL,STL,1755,1750.0,-5.0,19.0,1809.0,1915.0,6.0,1944,1921.0,-23.0,0.0,,0.0,169.0,151.0,126.0,814.0,,,,,,
707891,2018-02-08,YX,3459,BDL,ORD,1640,1632.0,-8.0,12.0,1644.0,1806.0,48.0,1827,1854.0,27.0,0.0,,0.0,167.0,202.0,142.0,783.0,0.0,0.0,27.0,0.0,0.0,
1230766,2018-03-08,MQ,4107,ORD,ROC,1205,1202.0,-3.0,16.0,1218.0,1437.0,6.0,1442,1443.0,1.0,0.0,,0.0,97.0,101.0,79.0,528.0,,,,,,
2894554,2018-05-31,UA,2228,PIT,SFO,1730,1732.0,2.0,15.0,1747.0,1945.0,10.0,1952,1955.0,3.0,0.0,,0.0,322.0,323.0,298.0,2254.0,,,,,,
1713042,2018-04-01,YX,4474,CLE,CLT,2000,1953.0,-7.0,14.0,2007.0,2120.0,9.0,2138,2129.0,-9.0,0.0,,0.0,98.0,96.0,73.0,430.0,,,,,,
5282381,2018-09-24,YX,3704,ORD,SYR,1235,1228.0,-7.0,12.0,1240.0,1459.0,4.0,1524,1503.0,-21.0,0.0,,0.0,109.0,95.0,79.0,607.0,,,,,,
2377674,2018-05-04,DL,2858,DTW,SEA,850,847.0,-3.0,18.0,905.0,1028.0,6.0,1036,1034.0,-2.0,0.0,,0.0,286.0,287.0,263.0,1927.0,,,,,,
5083635,2018-09-14,AS,117,SEA,FAI,1955,2000.0,5.0,14.0,2014.0,2242.0,4.0,2248,2246.0,-2.0,0.0,,0.0,233.0,226.0,208.0,1533.0,,,,,,
2014033,2018-04-16,YX,3557,EWR,MSY,1446,1445.0,-1.0,16.0,1501.0,1650.0,14.0,1710,1704.0,-6.0,0.0,,0.0,204.0,199.0,169.0,1167.0,,,,,,
5606500,2018-10-10,G4,1303,PIE,CVG,922,917.0,-5.0,10.0,927.0,1108.0,6.0,1131,1114.0,-17.0,0.0,,0.0,129.0,117.0,101.0,776.0,,,,,,
338971,2018-01-19,OO,4712,MSP,MSN,1342,1335.0,-7.0,26.0,1401.0,1440.0,6.0,1459,1446.0,-13.0,0.0,,0.0,77.0,71.0,39.0,228.0,,,,,,
6215929,2018-11-10,WN,1869,ATL,MDW,750,747.0,-3.0,11.0,758.0,830.0,6.0,845,836.0,-9.0,0.0,,0.0,115.0,109.0,92.0,591.0,,,,,,
6010451,2018-10-30,OO,4967,MSP,FSD,1601,1552.0,-9.0,25.0,1617.0,1657.0,6.0,1709,1703.0,-6.0,0.0,,0.0,68.0,71.0,40.0,196.0,,,,,,
1735194,2018-04-02,YV,6162,IAD,RIC,1300,1253.0,-7.0,12.0,1305.0,1332.0,4.0,1357,1336.0,-21.0,0.0,,0.0,57.0,43.0,27.0,100.0,,,,,,
772635,2018-02-12,OH,5567,CLT,OAJ,1805,1801.0,-4.0,15.0,1816.0,1851.0,3.0,1902,1854.0,-8.0,0.0,,0.0,57.0,53.0,35.0,191.0,,,,,,
2480149,2018-05-10,UA,382,ABQ,DEN,736,729.0,-7.0,14.0,743.0,835.0,6.0,853,841.0,-12.0,0.0,,0.0,77.0,72.0,52.0,349.0,,,,,,
2910059,2018-05-31,DL,471,LAX,JFK,1115,1115.0,0.0,26.0,1141.0,1933.0,45.0,1953,2018.0,25.0,0.0,,0.0,338.0,363.0,292.0,2475.0,0.0,0.0,25.0,0.0,0.0,
363457,2018-01-20,YX,3595,EWR,CVG,750,745.0,-5.0,12.0,757.0,932.0,7.0,1010,939.0,-31.0,0.0,,0.0,140.0,114.0,95.0,569.0,,,,,,
3727453,2018-07-10,WN,2484,OMA,MDW,1335,1329.0,-6.0,7.0,1336.0,1440.0,2.0,1455,1442.0,-13.0,0.0,,0.0,80.0,73.0,64.0,423.0,,,,,,
3198539,2018-06-14,B6,136,PHX,JFK,2243,2320.0,37.0,11.0,2331.0,701.0,5.0,632,706.0,34.0,0.0,,0.0,289.0,286.0,270.0,2153.0,9.0,0.0,0.0,0.0,25.0,
6995173,2018-12-20,WN,5672,SNA,OAK,1735,1803.0,28.0,7.0,1810.0,1912.0,5.0,1900,1917.0,17.0,0.0,,0.0,85.0,74.0,62.0,371.0,1.0,0.0,0.0,0.0,16.0,
