,iata,name,city,state,country,latitude,longitude
0,00M,Thigpen,Bay Springs,MS,USA,31.95376472,-89.23450472
1,00R,Livingston Municipal,Livingston,TX,USA,30.68586111,-95.01792778
2,00V,Meadow Lake,Colorado Springs,CO,USA,38.94574889,-104.56989329999999
3,01G,Perry-Warsaw,Perry,NY,USA,42.74134667,-78.05208056
4,01J,Hilliard Airpark,Hilliard,FL,USA,30.6880125,-81.90594389
5,01M,Tishomingo County,Belmont,MS,USA,34.49166667,-88.20111111
6,02A,Gragg-Wade,Clanton,AL,USA,32.85048667,-86.61145333
7,02C,Capitol,Brookfield,WI,USA,43.087509999999995,-88.17786917
8,02G,Columbiana County,East Liverpool,OH,USA,40.67331278,-80.64140639
9,03D,Memphis Memorial,Memphis,MO,USA,40.44725889,-92.22696056
10,04M,Calhoun County,Pittsboro,MS,USA,33.93011222,-89.34285194
11,04Y,Hawley Municipal,Hawley,MN,USA,46.88384889,-96.35089861
12,05C,Griffith-Merrillville,Griffith,IN,USA,41.51961917,-87.40109333
13,05F,Gatesville - City/County,Gatesville,TX,USA,31.42127556,-97.79696778
14,05U,Eureka,Eureka,NV,USA,39.60416667,-116.0050597
15,06A,Moton  Municipal,Tuskegee,AL,USA,32.46047167,-85.68003611
16,06C,Schaumburg,Chicago/Schaumburg,IL,USA,41.98934083,-88.10124278
17,06D,Rolla Municipal,Rolla,ND,USA,48.88434111,-99.62087694
18,06M,Eupora Municipal,Eupora,MS,USA,33.53456583,-89.31256917
19,06N,Randall,Middletown,NY,USA,41.43156583,-74.39191722
20,06U,Jackpot/Hayden,Jackpot,NV,USA,41.97602222,-114.65809109999998
21,07C,Dekalb County,Auburn,IN,USA,41.30716667,-85.06433333
22,07F,Gladewater Municipal,Gladewater,TX,USA,32.52883861,-94.97174556
23,07G,Fitch H Beach,Charlotte,MI,USA,42.57450861,-84.81143139
24,07K,Central City Municipal,Central City,NE,USA,41.11668056,-98.05033639
25,08A,Wetumpka Municipal,Wetumpka,AL,USA,32.52943944,-86.32822139
26,08D,Stanley Municipal,Stanley,ND,USA,48.30079861,-102.4063514
27,08K,Harvard State,Harvard,NE,USA,40.65138528,-98.07978667
28,08M,Carthage-Leake County,Carthage,MS,USA,32.76124611,-89.53007139
29,09A,Butler-Choctaw County,Butler,AL,USA,32.11931306,-88.1274625
30,09J,Jekyll Island,Jekyll Island,GA,USA,31.07447222,-81.42777778
31,09K,Sargent Municipal,Sargent,NE,USA,41.63695083,-99.34038139
32,09M,Charleston Municipal,Charleston,MS,USA,33.99150222,-90.07814499999999
33,09W,South Capitol Street,Washington,DC,USA,38.86872333,-77.00747583
34,0A3,Smithville Municipal,Smithville,TN,USA,35.98531194,-85.80931806
35,0A8,Bibb County,Centreville,AL,USA,32.93679056,-87.08888306
36,0A9,Elizabethton Municipal,Elizabethton,TN,USA,36.37094306,-82.17374111
37,0AK,Pilot Station,Pilot Station,AK,USA,61.93396417,-162.8929358
38,0B1,Col. Dyke,Bethel,ME,USA,44.42506444,-70.80784778
39,0B4,Hartington Municipal,Hartington,NE,USA,42.60355556,-97.25263889
40,0B5,Turners Falls,Montague,MA,USA,42.59136361,-72.52275472
41,0B7,Warren-Sugar Bush,Warren,VT,USA,44.11672722,-72.82705806
42,0B8,Elizabeth,Fishers Island,NY,USA,41.25130806,-72.03161139
43,0C0,Dacy,Chicago/Harvard,IL,USA,42.40418556,-88.63343222
44,0C4,Pender Municipal,Pender,NE,USA,42.11388722,-96.72892556
45,0D1,South Haven Municipal,South Haven,MI,USA,42.35083333,-86.25613889
46,0D8,Gettysburg Municipal,Gettysburg,SD,USA,44.98730556,-99.9535
47,0E0,Moriarty,Moriarty,NM,USA,34.98560639,-106.00946609999998
48,0E8,Crownpoint,Crownpoint,NM,USA,35.71765889,-108.20159609999999
49,0F2,Bowie Municipal,Bowie,TX,USA,33.60166667,-97.77556
50,0F4,Loup City Municipal,Loup City,NE,USA,41.29028694,-98.99064278
51,0F7,Fountainhead Lodge Airpark,Eufaula,OK,USA,35.38898833,-95.60165111
